NP,Nombre del Programa,Nombre del Punto,Estado,Municipio,Colonia,Dirección,latitud,longitud,Materiales
267,Otros puntos de acopio,Reciclables el Chuy,Oaxaca,Oaxaca de Juárez,Oaxaca de Juarez,"Camino viejo a San Jacinto esquina Av. Libertad S/N CP.  71220
Oaxaca de Juárez, Oax.",17.099797242443955,-96.77093996477223,"PET, PEAD, Metales no ferrosos, Hojalata, Papel, Cartón y Archivo Muerto"
268,Otros puntos de acopio,Reciclapapel S.A. de C.V. (Comercial),Oaxaca,Oaxaca de Juárez,Paraje el humedal,"Calle Sabinos 100, Col Paraje el humedal, Trinidad de Viguera CP. 68050
Oaxaca de Juárez, Oax.",17.11770264147676,-96.7711910512463,"PET, PEAD, PP, Metales no ferrosos, Hojalata, Papel, Cartón, Archivo Muerto, Botellas de vidrio"
269,Otros puntos de acopio,David Asunción,Oaxaca,Oaxaca de Juárez,San Isidro,"Calle San Ángel 217 CP. 68276
San Isidro, Oax.",17.130098745165,-96.7624397406365,"PET, Metales ferrosos, Hojalata"
270,Otros puntos de acopio,Ambioental Reciclados y Soluciones Ambientales S.A. de C.V.,Oaxaca,Oaxaca de Juárez,San Isidro,"Recepción en Carretera Internacional 4006-B, Col. San Isidro,Pueblo Nuevo.
Oaxaca, Oax.",,,PET
271,Otros puntos de acopio,Grupo GASA,Oaxaca,Oaxaca de Juárez,Trinidad Viguera,"Libramiento Norte No. 116, Trinidad Viguera
Oaxaca, Oax.",,,"PET, PEAD, Botellas de vidrio color cristal"
272,Otros puntos de acopio,Ambioental Reciclados y Soluciones Ambientales S.A. de C.V. ,Oaxaca,Salina Cruz,Jardines,"Calzada Refinería S/N  Col. Jardines
Salina Cruz, Oax. ",,,"PET, PEAD, Metales no ferrosos, Hojalata"
273,Otros puntos de acopio,Reciclados del Itzmo,Oaxaca,Salina Cruz,Deportiva Norte,"Dias Ordaz 19, Colonia Deportiva Norte",,,"PET, PEAD, PP, Metales no ferrosos, Hojalata, Papel, Cartón, Archivo Muerto"
274,Otros puntos de acopio,Compra y venta de fierro viejo,Oaxaca,San Agustín de las Juntas,San Agustin de las Juntas,"Av. Símbolos Patrios 407, San Agustín de las Juntas, CP. 71238
San Agustín de las Juntas, Oax.",17.012195882048143,-96.71256874354582,"PET, PEAD, PP, Metales no ferrosos, Hojalata"
275,Otros puntos de acopio,Eco Valle,Oaxaca,San Andrés Huayápam,Zoogocho,"Carretera Antigua a San Andrés Huayapam 114, Zoogocho
San Andrés Huayápam, Oax.",17.092175,-96.683053,"PET, PEAD, PP, Metales no ferrosos, Hojalata, Papel, Cartón, Archivo Muerto"
276,Otros puntos de acopio,David Perez Marcial,Oaxaca,San Bartolo Coyotepec,12 de Julio,"Calle Cascada No.2 Colonia 12 de Julio
San Bartolo Coyotepec, Oax.",,,PET
