NP,,Nombre,Estado,municipio,Colonia,Dirección,latitud,longitud
301,Aurora,LUZAMI SA DE CV HOTEL MISION OAXACA,Oaxaca,Oaxaca de Juárez,San Felipe del Agua,"Avenida Jalisco 15 Col. San Felipe del Agua Oaxaca de Juárez  C.P. 68020, Oaxaca",,
302,Aurora,PARROQUIA DE LA INMACULADA CONCEPCIÓN ,Oaxaca,Santa María Huatulco ,Centro,Avenida Morelos sin número esquina Josefa Ortiz de Domínguez sin número Col. Centro. Santa María Huautulco  ,,
303,Aurora,KINTI SOLUCIONES SOSTENIBLES A.C.,Oaxaca,Santa María Tonameca,San Agustinillo ,"carretera 175 región marítima sin número Col. San Agustinillo, Santa María Tonameca  ",,
304,Aurora,INSTITUTO DE LA JUVENTUD HUATULCO,Oaxaca,Santa María Huatulco ,,Unidad deportiva Galeana esquina gradera sin número. Col.Centro Santa María Huatulco CP 70980 Santa María Huatulco,,
305,Aurora,Abts Merlin,Oaxaca,Santa María Colotepec,Marinero,Calle del Morrol Col. Marinero CP 71980 Santa María Colotepec en medio de playa zicatela,15.85565405,-97.05702652
306,Aurora,Videojuegos mi tiendita ,Oaxaca,Santa María Colotepec,Marinero,Carretera Costera Col. Marinero CP 709634  Santa María Colotepec antes de entrar a playa zicatela,15.86047255,-97.05886066
307,Aurora,abarrotes Jacqueline,Oaxaca,Santa María Colotepec,Zicatela,del morro entrada playa zicatela 275 Col. Zicatela,15.8590257,-97.05912526
308,Aurora,Super S5,Oaxaca,Santa María Colotepec,Centro,Avenida Pérez Gasca Puerto Escondido Centro entrada adoquin junto al semaforo,15.86188424,-97.06082939
309,Aurora,Abarrotes Griselda ,Oaxaca,Santa María Colotepec,Barra de Navidad,Calle Colotepec Col. Barra de Navidad CP71980 Santa María Colotepecen el arco de la entrada de colotepec,15.82523566,-97.01956093
310,Aurora,Minisuper El Paso ,Oaxaca,Santa María Colotepec,Santa María Colotepec,Carretera Costera Col. El Palmar Tomatal CP 70934 Santa María Colotepec  frente a entrada colonia san juanito,15.78931124,-96.91820025
311,Aurora,Cumar algo más que ahorrar ,Oaxaca,Santa María Colotepec,Santa María Colotepec,Avenida Independencia Col. Santa María Colotepec CP 7980 Santa María Colotepec frente a entrada colonia san juanito,15.89760625,-96.94147775
312,Aurora,Mini superaragón,Oaxaca,Santa María Colotepec,Santa Elena Tonameca,Conocido sin número Col. Santa Elena Tonameca CP 70946 junto a puente peatonal,15.75611345,-96.82102312
313,Aurora,Abts el Crucero ,Oaxaca,Santa María Colotepec,Sector Juárez,Carrereta Costera Col. Sector Juárez CP 71980 Santa María Colotepec Cerca de chedraui,15.86184516,-97.06748664
314,Aurora,Misc Alfec ,Oaxaca,San Pedro Mixtepec Dtto-22,Libertad,Del Carmen Col. Libertad  CP 71980 San Pedro Mixtepec -Distrito 22 a 2 cuadras despues del jardin de niños de la colonia,15.87086925,-97.05760759
315,Aurora,Abats Eva Luz,Oaxaca,San Gabriel Mixtepec,Barrio de la Cruz ,20 de Noviembre Col. Barrio de la Cruz CP 71970 San Gabriel Mixtepec a 2 cuadras de la carretera que va a oaxaca,16.09553,-97.082598333333
316,Aurora,7+1 mini super,Oaxaca,Santa María Colotepec,Brisas de Zicatela,Carr. Costera Local #3. Col. Brisas de Zicatela CP 70934,15.84204465,-97.04360962
317,Aurora,Vero ,Oaxaca,San Pedro Mixtepec Dtto-22,Santa Cruz,Calle Oaxaca Col Santa Cruz CP 71990 San Pedro Mixtepec dt 22 antes de glorieta principal despues de abts Nay,15.982732,-97.07793653
318,Aurora,Farmacia del centro,Oaxaca,San Pedro Mixtepec Dtto-22,Centro,Vicente Guerrero Col. Centro cp 71990 San Pedro Mixtepec dto 22 frente agencia municipal,15.98229365,-97.08391652
319,Aurora,Abarrotes del sur ,Oaxaca,Santos Reyes Nopala ,Barrio de Jesús,Hidalgo 16 Col. Barrio de Jesús CP 7196 Santo Reyes Nopala  a un ocstado de la agencia,16.104961666667,-97.144566666667
320,Aurora,Abts San Juan de los Lagos ,Oaxaca,San Pedro Mixtepec Dtto-22,Bajos de Chila,Calle aV 16 Sept Sn Col. Bajos de Chila junto abts juanita entrada de la poblacion,15.916603333333,-97.121111666667
321,Aurora,abarrotes Ari,Oaxaca, Santa María Tonameca ,San Francisco Cozoa,Avenida Reforma Col. San Francisco Cozoa CP 70944  entrada cozoaltepec parada de taxis,15.81454333,-96.72558833
322,Aurora,abarrotes y vinos rockaway ,Oaxaca,Santa María Colotepec,Brisas de Zicatela,AVENIDA AV ALEJANDRO CARDENAS Col. Brisas de Zicatela CP 70934 junto a six de playa punta zicatela,15.8337609,-97.04476969
323,Aurora,Abarrotes los mangales,Oaxaca,San Pedro Mixtepec Dtto-22,Benito Juárez ,Avenida Ignacio Zaragoza Col. Benito Juárez CP 71980 San Pedro Mixtepec junto a tienda superprecio,15.87638117,-97.07121432
324,Aurora,Abarrotes Rubi,Oaxaca,San Pedro Mixtepec Dtto-22,Aeropuerto ,Carretera a Oaxaca 101 Col. N Aeropuerto CP 71985 -San Pedro Mixtepec,15.88137723,-97.07939662
325,Aurora,Abts y papeleria Yami-Gael,Oaxaca,San Pedro Mixtepec Dtto-22,Benito Juárez,Avenida Cuauhtémoc Col. Benito Juárez CP71980 San Pedro Mixtepec  cerca de la terminal de segunda a un ocstado de la carretera,15.87448923,-97.07468761
326,Aurora,abarrotes Luisito,Oaxaca,San Pedro Mixtepec Dtto-22,Puerto Escondido ,calle 8 norte  Col. Puerto Escondido centro CP 71980 frente a mercado municipal de puerto escondido,15.869526666667,-97.073723333333
327,Aurora,Abarrotes dona santa,Oaxaca,San Pedro Mixtepec Dtto-22,Aeropuerto ,Carretera a Oaxaca Col. Aeropuerto CP 71980 San Pero Mixtepec frente a tienda super precios antes de la gasolinera,15.88440411,-97.07918108
328,Aurora,Abarrotes Yadi ,Oaxaca,San Pedro Mixtepec Dtto-22,Sector Reforma,calle 8A norte Col. Sector Reforma D CP 71980 a un costado de muebleria Junior,15.870735,-97.069288333333
329,Aurora,Depocito alegria,Oaxaca,San Pedro Mixtepec Dtto-22,Lázaro Cárdenas,carretera costera junto a hotel DC Lázaro Cárdenas CP 70839 despues del mercado zicatela,15.84971325,-97.04989135
330,Aurora,Abts Anita,Oaxaca,San Pedro Mixtepec Dtto-22,Marinero,Camino a Malucano Col. Marinero CP 71980 delante de la agencia,15.86182452,-97.05454767
331,Aurora,Autoservicio el fortin ,Oaxaca,San Pedro Mixtepec Dtto-22,Sector Reforma,calle poniente sin número Col. N928 Sector Reforma CP71984 a un costado de la carretera costera cerca de telmex,15.86209885,-97.06911046
332,Aurora,Abts. Martínez,Oaxaca,San Pedro Mixtepec Dtto-22,San Andrés Copala ,principal Col. San Andrés Copala CP 71990 cerca de abts copala y cerca d ela agencia,15.99986,-97.14423
333,Aurora,Abarrotes Junior´s,Oaxaca,San Pedro Mixtepec Dtto-22,Centro ,Cale dos norte # 203 Col. Centro CP 71980 junto a gasolinera,15.86369185,-97.07169941
334,Aurora,La tiendita de Raciel,Oaxaca,San Pedro Mixtepec Dtto-22,Fraccionamiento las Palmas ,Cocoteros 138  Col. Fraccionamiento las Palmas CP 71980 ,15.87004448,-97.08430409
335,Aurora,Misc la pasadita,Oaxaca,San Pedro Mixtepec Dtto-22,San Miguel,Ignacio Zaragoza Col. San Miguel CP 71980 junto a campo de futbol,15.88487363,-97.06591487
336,Aurora,Abarrotes Diana,Oaxaca,San Pedro Mixtepec Dtto-22,Bajos de Chila,calle morelos Col. Bajos de Chila CP 70839 frente a preparatoria,15.91931969,-97.12433726
337,Aurora,Abarrotes Puerto Angelito,Oaxaca,San Pedro Mixtepec Dtto-22,Sector Hidalgo ,4A PONIENTE Col. Sector Hidalgo CP 71980 a un costado del parque central y del  la iglesia del pueblo,15.862438333333,-97.072663333333
338,Aurora,San Juditas ,Oaxaca,San Pedro Mixtepec Dtto-22,Agua Marina ,calle agua marina  Col. Agua Marina CP 71980 a un costado de deposito Isamar,15.87065377,-97.07777892
339,Aurora,Vinateria el Pelicano ,Oaxaca,San Pedro Mixtepec Dtto-22,Sector Libertad ,Avenida Alfonso Pérez Gasaga   519 Col. Sector Libertad CP 71980,15.860591666667,-97.065291666667
340,Aurora,Refresquería Esther ,Oaxaca,Salina Cruz,Mazatan,"Carretera Costera sin número Col. Mazatan CP 7060 a la salida morro mazatán , frente al sitio de psajeros ",-95.383029,16.09990805
341,Aurora,Lupita,Oaxaca,Salina Cruz,Morro de Mazatan,"Calle Carretera Costera sin número  Col. Morro Mazatán CP 70760 , a la salida Morro Mazatán junto al sitio de pasajeros",-95.38249554,16.09968784
342,Aurora,Miscelanea Garcia,Oaxaca, Santa María Colotepec,Lomas del Puerto ,Calle en las Cruces Col. Lomas el Puerto CP 70934 junto a cancha,15.86508055,-97.05680609
